=== Restore-All from Backup ===
Vault:   C:\Users\Sean\Documents\SecondBrain
[RESTORED] (770 bytes)  .obsidian\plugins\IonSync\data\shadow\2e6f6273696469616e2f706c7567696e732f496f6e53796e632f646174612e6a736f6e.md
[RESTORED] (126578 bytes)  .obsidian\plugins\IonSync\data\shadow\2e6f6273696469616e2f706c7567696e732f496f6e53796e632f6d61696e2e6a73.md
[RESTORED] (242 bytes)  .obsidian\plugins\IonSync\data\shadow\2e6f6273696469616e2f706c7567696e732f496f6e53796e632f6d616e69666573742e6a736f6e.md
[RESTORED] (1033 bytes)  .obsidian\plugins\IonSync\data\shadow\2e6f6273696469616e2f706c7567696e732f496f6e53796e632f7374796c65732e637373.md
[RESTORED] (22 bytes)  .obsidian\plugins\IonSync\data\shadow\2e6f6273696469616e2f706c7567696e732f496f6e53796e632f76657273696f6e732e6a736f6e.md
[RESTORED] (368463 bytes)  .obsidian\plugins\IonSync\data\shadow\2e6f6273696469616e2f706c7567696e732f616476616e6365642d63616e7661732f6d61696e2e6a73.md
[RESTORED] (363 bytes)  .obsidian\plugins\IonSync\data\shadow\2e6f6273696469616e2f706c7567696e732f616476616e6365642d63616e7661732f6d616e69666573742e6a736f6e.md
[RESTORED] (18992 bytes)  .obsidian\plugins\IonSync\data\shadow\2e6f6273696469616e2f706c7567696e732f616476616e6365642d63616e7661732f7374796c65732e637373.md
[RESTORED] (707 bytes)  .obsidian\plugins\IonSync\data\shadow\2e6f6273696469616e2f706c7567696e732f616e7973636f722f646174612e6a736f6e.md
[RESTORED] (212066 bytes)  .obsidian\plugins\IonSync\data\shadow\2e6f6273696469616e2f706c7567696e732f616e7973636f722f6d61696e2e6a73.md
[RESTORED] (279 bytes)  .obsidian\plugins\IonSync\data\shadow\2e6f6273696469616e2f706c7567696e732f616e7973636f722f6d616e69666573742e6a736f6e.md
[RESTORED] (5396833 bytes)  .obsidian\plugins\IonSync\data\shadow\2e6f6273696469616e2f706c7567696e732f616e7973636f722f6d657461646174612e6a736f6e.md
[RESTORED] (7373 bytes)  .obsidian\plugins\IonSync\data\shadow\2e6f6273696469616e2f706c7567696e732f616e7973636f722f7374796c65732e637373.md
[RESTORED] (2 bytes)  .obsidian\plugins\IonSync\data\shadow\2e6f6273696469616e2f706c7567696e732f616e7973636f722f73796e632d64656c6574652d71756575652e6a736f6e.md
[RESTORED] (728 bytes)  .obsidian\plugins\IonSync\data\shadow\2e6f6273696469616e2f706c7567696e732f616e79736f636b65742d73796e632f646174612e6a736f6e.md
[RESTORED] (236684 bytes)  .obsidian\plugins\IonSync\data\shadow\2e6f6273696469616e2f706c7567696e732f616e79736f636b65742d73796e632f6d61696e2e6a73.md
[RESTORED] (254 bytes)  .obsidian\plugins\IonSync\data\shadow\2e6f6273696469616e2f706c7567696e732f616e79736f636b65742d73796e632f6d616e69666573742e6a736f6e.md
[RESTORED] (8007031 bytes)  .obsidian\plugins\IonSync\data\shadow\2e6f6273696469616e2f706c7567696e732f616e79736f636b65742d73796e632f6d657461646174612e6a736f6e.md
[RESTORED] (7373 bytes)  .obsidian\plugins\IonSync\data\shadow\2e6f6273696469616e2f706c7567696e732f616e79736f636b65742d73796e632f7374796c65732e637373.md
[RESTORED] (2 bytes)  .obsidian\plugins\IonSync\data\shadow\2e6f6273696469616e2f706c7567696e732f616e79736f636b65742d73796e632f73796e632d64656c6574652d71756575652e6a736f6e.md
[RESTORED] (434 bytes)  .obsidian\plugins\IonSync\data\shadow\2e6f6273696469616e2f706c7567696e732f6175746f2d6e6f74652d6d6f7665722f646174612e6a736f6e.md
[RESTORED] (86699 bytes)  .obsidian\plugins\IonSync\data\shadow\2e6f6273696469616e2f706c7567696e732f6175746f2d6e6f74652d6d6f7665722f6d61696e2e6a73.md
[RESTORED] (331 bytes)  .obsidian\plugins\IonSync\data\shadow\2e6f6273696469616e2f706c7567696e732f6175746f2d6e6f74652d6d6f7665722f6d616e69666573742e6a736f6e.md
[RESTORED] (419 bytes)  .obsidian\plugins\IonSync\data\shadow\2e6f6273696469616e2f706c7567696e732f62726f6b656e2d6c696e6b732f646174612e6a736f6e.md
[RESTORED] (259241 bytes)  .obsidian\plugins\IonSync\data\shadow\2e6f6273696469616e2f706c7567696e732f62726f6b656e2d6c696e6b732f6d61696e2e6a73.md
[RESTORED] (341 bytes)  .obsidian\plugins\IonSync\data\shadow\2e6f6273696469616e2f706c7567696e732f62726f6b656e2d6c696e6b732f6d616e69666573742e6a736f6e.md
[RESTORED] (4015 bytes)  .obsidian\plugins\IonSync\data\shadow\2e6f6273696469616e2f706c7567696e732f62726f6b656e2d6c696e6b732f7374796c65732e637373.md
[RESTORED] (190877 bytes)  .obsidian\plugins\IonSync\data\shadow\2e6f6273696469616e2f706c7567696e732f627574746f6e732f6d61696e2e6a73.md
[RESTORED] (288 bytes)  .obsidian\plugins\IonSync\data\shadow\2e6f6273696469616e2f706c7567696e732f627574746f6e732f6d616e69666573742e6a736f6e.md
[RESTORED] (12138 bytes)  .obsidian\plugins\IonSync\data\shadow\2e6f6273696469616e2f706c7567696e732f627574746f6e732f7374796c65732e637373.md
[RESTORED] (1390 bytes)  .obsidian\plugins\IonSync\data\shadow\2e6f6273696469616e2f706c7567696e732f64617368626f6172642d6e6176696761746f722f646174612e6a736f6e.md
[RESTORED] (200755 bytes)  .obsidian\plugins\IonSync\data\shadow\2e6f6273696469616e2f706c7567696e732f64617368626f6172642d6e6176696761746f722f6d61696e2e6a73.md
[RESTORED] (357 bytes)  .obsidian\plugins\IonSync\data\shadow\2e6f6273696469616e2f706c7567696e732f64617368626f6172642d6e6176696761746f722f6d616e69666573742e6a736f6e.md
[RESTORED] (49792 bytes)  .obsidian\plugins\IonSync\data\shadow\2e6f6273696469616e2f706c7567696e732f64617368626f6172642d6e6176696761746f722f7374796c65732e637373.md
[RESTORED] (74169 bytes)  .obsidian\plugins\IonSync\data\shadow\2e6f6273696469616e2f706c7567696e732f646174612d63617264732f6d61696e2e6a73.md
[RESTORED] (345 bytes)  .obsidian\plugins\IonSync\data\shadow\2e6f6273696469616e2f706c7567696e732f646174612d63617264732f6d616e69666573742e6a736f6e.md
[RESTORED] (39755 bytes)  .obsidian\plugins\IonSync\data\shadow\2e6f6273696469616e2f706c7567696e732f646174612d63617264732f7374796c65732e637373.md
[RESTORED] (861 bytes)  .obsidian\plugins\IonSync\data\shadow\2e6f6273696469616e2f706c7567696e732f64617461766965772f646174612e6a736f6e.md
[RESTORED] (1302069 bytes)  .obsidian\plugins\IonSync\data\shadow\2e6f6273696469616e2f706c7567696e732f64617461766965772f6d61696e2e6a73.md
[RESTORED] (357 bytes)  .obsidian\plugins\IonSync\data\shadow\2e6f6273696469616e2f706c7567696e732f64617461766965772f6d616e69666573742e6a736f6e.md
[RESTORED] (2965 bytes)  .obsidian\plugins\IonSync\data\shadow\2e6f6273696469616e2f706c7567696e732f64617461766965772f7374796c65732e637373.md
[RESTORED] (217297 bytes)  .obsidian\plugins\IonSync\data\shadow\2e6f6273696469616e2f706c7567696e732f6461796672616d652f6d61696e2e6a73.md
[RESTORED] (258 bytes)  .obsidian\plugins\IonSync\data\shadow\2e6f6273696469616e2f706c7567696e732f6461796672616d652f6d616e69666573742e6a736f6e.md
[RESTORED] (315 bytes)  .obsidian\plugins\IonSync\data\shadow\2e6f6273696469616e2f706c7567696e732f6461796672616d652f7374796c65732e637373.md
[RESTORED] (1063714 bytes)  .obsidian\plugins\IonSync\data\shadow\2e6f6273696469616e2f706c7567696e732f646966667a69702f6d61696e2e6a73.md
[RESTORED] (259 bytes)  .obsidian\plugins\IonSync\data\shadow\2e6f6273696469616e2f706c7567696e732f646966667a69702f6d616e69666573742e6a736f6e.md
[RESTORED] (389 bytes)  .obsidian\plugins\IonSync\data\shadow\2e6f6273696469616e2f706c7567696e732f646966667a69702f7374796c65732e637373.md
[RESTORED] (1150069 bytes)  .obsidian\plugins\IonSync\data\shadow\2e6f6273696469616e2f706c7567696e732f646f637865722f6d61696e2e6a73.md
[RESTORED] (330 bytes)  .obsidian\plugins\IonSync\data\shadow\2e6f6273696469616e2f706c7567696e732f646f637865722f6d616e69666573742e6a736f6e.md
[RESTORED] (906 bytes)  .obsidian\plugins\IonSync\data\shadow\2e6f6273696469616e2f706c7567696e732f646f637865722f7374796c65732e637373.md
[RESTORED] (1451 bytes)  .obsidian\plugins\IonSync\data\shadow\2e6f6273696469616e2f706c7567696e732f656467652d7474732f646174612e6a736f6e.md
[RESTORED] (430158 bytes)  .obsidian\plugins\IonSync\data\shadow\2e6f6273696469616e2f706c7567696e732f656467652d7474732f6d61696e2e6a73.md
[RESTORED] (286 bytes)  .obsidian\plugins\IonSync\data\shadow\2e6f6273696469616e2f706c7567696e732f656467652d7474732f6d616e69666573742e6a736f6e.md
[RESTORED] (21762 bytes)  .obsidian\plugins\IonSync\data\shadow\2e6f6273696469616e2f706c7567696e732f656467652d7474732f7374796c65732e637373.md
[RESTORED] (1264224 bytes)  .obsidian\plugins\IonSync\data\shadow\2e6f6273696469616e2f706c7567696e732f657075622d696d706f727465722f6d61696e2e6a73.md
[RESTORED] (294 bytes)  .obsidian\plugins\IonSync\data\shadow\2e6f6273696469616e2f706c7567696e732f657075622d696d706f727465722f6d616e69666573742e6a736f6e.md
[RESTORED] (1078 bytes)  .obsidian\plugins\IonSync\data\shadow\2e6f6273696469616e2f706c7567696e732f66696c652d6578706c6f7265722d706c75732f646174612e6a736f6e.md
[RESTORED] (117565 bytes)  .obsidian\plugins\IonSync\data\shadow\2e6f6273696469616e2f706c7567696e732f66696c652d6578706c6f7265722d706c75732f6d61696e2e6a73.md
[RESTORED] (435 bytes)  .obsidian\plugins\IonSync\data\shadow\2e6f6273696469616e2f706c7567696e732f66696c652d6578706c6f7265722d706c75732f6d616e69666573742e6a736f6e.md
[RESTORED] (695 bytes)  .obsidian\plugins\IonSync\data\shadow\2e6f6273696469616e2f706c7567696e732f66696c652d6578706c6f7265722d706c75732f7374796c65732e637373.md
[RESTORED] (910 bytes)  .obsidian\plugins\IonSync\data\shadow\2e6f6273696469616e2f706c7567696e732f666c656574696e672d6e6f7465732d6f6273696469616e2f646174612e6a736f6e.md
[RESTORED] (486017 bytes)  .obsidian\plugins\IonSync\data\shadow\2e6f6273696469616e2f706c7567696e732f666c656574696e672d6e6f7465732d6f6273696469616e2f6d61696e2e6a73.md
[RESTORED] (295 bytes)  .obsidian\plugins\IonSync\data\shadow\2e6f6273696469616e2f706c7567696e732f666c656574696e672d6e6f7465732d6f6273696469616e2f6d616e69666573742e6a736f6e.md
[RESTORED] (41 bytes)  .obsidian\plugins\IonSync\data\shadow\2e6f6273696469616e2f706c7567696e732f666c656574696e672d6e6f7465732d6f6273696469616e2f7374796c65732e637373.md
[RESTORED] (3130 bytes)  .obsidian\plugins\IonSync\data\shadow\2e6f6273696469616e2f706c7567696e732f666f6c6465722d6e6f7465732f646174612e6a736f6e.md
[RESTORED] (384595 bytes)  .obsidian\plugins\IonSync\data\shadow\2e6f6273696469616e2f706c7567696e732f666f6c6465722d6e6f7465732f6d61696e2e6a73.md
[RESTORED] (464 bytes)  .obsidian\plugins\IonSync\data\shadow\2e6f6273696469616e2f706c7567696e732f666f6c6465722d6e6f7465732f6d616e69666573742e6a736f6e.md
[RESTORED] (9130 bytes)  .obsidian\plugins\IonSync\data\shadow\2e6f6273696469616e2f706c7567696e732f666f6c6465722d6e6f7465732f7374796c65732e637373.md
[RESTORED] (964 bytes)  .obsidian\plugins\IonSync\data\shadow\2e6f6273696469616e2f706c7567696e732f666f6c6465726272696467652f646174612e6a736f6e.md
[RESTORED] (3254454 bytes)  .obsidian\plugins\IonSync\data\shadow\2e6f6273696469616e2f706c7567696e732f666f6c6465726272696467652f6d61696e2e6a73.md
[RESTORED] (346 bytes)  .obsidian\plugins\IonSync\data\shadow\2e6f6273696469616e2f706c7567696e732f666f6c6465726272696467652f6d616e69666573742e6a736f6e.md
[RESTORED] (5463 bytes)  .obsidian\plugins\IonSync\data\shadow\2e6f6273696469616e2f706c7567696e732f666f6c6465726272696467652f7374796c65732e637373.md
[RESTORED] (251 bytes)  .obsidian\plugins\IonSync\data\shadow\2e6f6273696469616e2f706c7567696e732f67656d696e692d67656e657261746f722f646174612e6a736f6e.md
[RESTORED] (49769 bytes)  .obsidian\plugins\IonSync\data\shadow\2e6f6273696469616e2f706c7567696e732f67656d696e692d67656e657261746f722f6d61696e2e6a73.md
[RESTORED] (265 bytes)  .obsidian\plugins\IonSync\data\shadow\2e6f6273696469616e2f706c7567696e732f67656d696e692d67656e657261746f722f6d616e69666573742e6a736f6e.md
[RESTORED] (223 bytes)  .obsidian\plugins\IonSync\data\shadow\2e6f6273696469616e2f706c7567696e732f67656d696e692d67656e657261746f722f7374796c65732e637373.md
[RESTORED] (1128 bytes)  .obsidian\plugins\IonSync\data\shadow\2e6f6273696469616e2f706c7567696e732f676f6f676c652d70686f746f732f646174612e6a736f6e.md
[RESTORED] (99803 bytes)  .obsidian\plugins\IonSync\data\shadow\2e6f6273696469616e2f706c7567696e732f676f6f676c652d70686f746f732f6d61696e2e6a73.md
[RESTORED] (313 bytes)  .obsidian\plugins\IonSync\data\shadow\2e6f6273696469616e2f706c7567696e732f676f6f676c652d70686f746f732f6d616e69666573742e6a736f6e.md
[RESTORED] (2301 bytes)  .obsidian\plugins\IonSync\data\shadow\2e6f6273696469616e2f706c7567696e732f676f6f676c652d70686f746f732f7374796c65732e637373.md
[RESTORED] (117 bytes)  .obsidian\plugins\IonSync\data\shadow\2e6f6273696469616e2f706c7567696e732f67736c6f67696d616b65722d6d792d6269626c652f646174612e6a736f6e.md
[RESTORED] (924382 bytes)  .obsidian\plugins\IonSync\data\shadow\2e6f6273696469616e2f706c7567696e732f67736c6f67696d616b65722d6d792d6269626c652f6d61696e2e6a73.md
[RESTORED] (342 bytes)  .obsidian\plugins\IonSync\data\shadow\2e6f6273696469616e2f706c7567696e732f67736c6f67696d616b65722d6d792d6269626c652f6d616e69666573742e6a736f6e.md
[RESTORED] (1821 bytes)  .obsidian\plugins\IonSync\data\shadow\2e6f6273696469616e2f706c7567696e732f67736c6f67696d616b65722d6d792d6269626c652f7374796c65732e637373.md
[RESTORED] (433 bytes)  .obsidian\plugins\IonSync\data\shadow\2e6f6273696469616e2f706c7567696e732f686561746d61702d63616c656e6461722f646174612e6a736f6e.md
[RESTORED] (16313 bytes)  .obsidian\plugins\IonSync\data\shadow\2e6f6273696469616e2f706c7567696e732f686561746d61702d63616c656e6461722f6d61696e2e6a73.md
[RESTORED] (373 bytes)  .obsidian\plugins\IonSync\data\shadow\2e6f6273696469616e2f706c7567696e732f686561746d61702d63616c656e6461722f6d616e69666573742e6a736f6e.md
[RESTORED] (3587 bytes)  .obsidian\plugins\IonSync\data\shadow\2e6f6273696469616e2f706c7567696e732f686561746d61702d63616c656e6461722f7374796c65732e637373.md
[RESTORED] (537 bytes)  .obsidian\plugins\IonSync\data\shadow\2e6f6273696469616e2f706c7567696e732f686f6d65706167652f646174612e6a736f6e.md
[RESTORED] (59582 bytes)  .obsidian\plugins\IonSync\data\shadow\2e6f6273696469616e2f706c7567696e732f686f6d65706167652f6d61696e2e6a73.md
[RESTORED] (344 bytes)  .obsidian\plugins\IonSync\data\shadow\2e6f6273696469616e2f706c7567696e732f686f6d65706167652f6d616e69666573742e6a736f6e.md
[RESTORED] (4500 bytes)  .obsidian\plugins\IonSync\data\shadow\2e6f6273696469616e2f706c7567696e732f686f6d65706167652f7374796c65732e637373.md
[RESTORED] (33707 bytes)  .obsidian\plugins\IonSync\data\shadow\2e6f6273696469616e2f706c7567696e732f686f72697a6f6e74616c2d626c6f636b732f6d61696e2e6a73.md
[RESTORED] (398 bytes)  .obsidian\plugins\IonSync\data\shadow\2e6f6273696469616e2f706c7567696e732f686f72697a6f6e74616c2d626c6f636b732f6d616e69666573742e6a736f6e.md
[RESTORED] (5404 bytes)  .obsidian\plugins\IonSync\data\shadow\2e6f6273696469616e2f706c7567696e732f686f72697a6f6e74616c2d626c6f636b732f7374796c65732e637373.md
[RESTORED] (629 bytes)  .obsidian\plugins\IonSync\data\shadow\2e6f6273696469616e2f706c7567696e732f696e6b2f646174612e6a736f6e.md
[RESTORED] (2723022 bytes)  .obsidian\plugins\IonSync\data\shadow\2e6f6273696469616e2f706c7567696e732f696e6b2f6d61696e2e6a73.md
[RESTORED] (513 bytes)  .obsidian\plugins\IonSync\data\shadow\2e6f6273696469616e2f706c7567696e732f696e6b2f6d616e69666573742e6a736f6e.md
[RESTORED] (223574 bytes)  .obsidian\plugins\IonSync\data\shadow\2e6f6273696469616e2f706c7567696e732f696e6b2f7374796c65732e637373.md
[RESTORED] (778 bytes)  .obsidian\plugins\IonSync\data\shadow\2e6f6273696469616e2f706c7567696e732f696f6e2d73796e632f646174612e6a736f6e.md
[RESTORED] (2 bytes)  .obsidian\plugins\IonSync\data\shadow\2e6f6273696469616e2f706c7567696e732f696f6e2d73796e632f646174612f64656c6574652d71756575652e6a736f6e.md
[RESTORED] (3082466 bytes)  .obsidian\plugins\IonSync\data\shadow\2e6f6273696469616e2f706c7567696e732f696f6e2d73796e632f646174612f6d657461646174612e6a736f6e.md
[RESTORED] (125753 bytes)  .obsidian\plugins\IonSync\data\shadow\2e6f6273696469616e2f706c7567696e732f696f6e2d73796e632f6d61696e2e6a73.md
[RESTORED] (217 bytes)  .obsidian\plugins\IonSync\data\shadow\2e6f6273696469616e2f706c7567696e732f696f6e2d73796e632f6d616e69666573742e6a736f6e.md
[RESTORED] (1457 bytes)  .obsidian\plugins\IonSync\data\shadow\2e6f6273696469616e2f706c7567696e732f696f6e2d73796e632f7374796c65732e637373.md
[RESTORED] (27629 bytes)  .obsidian\plugins\IonSync\data\shadow\2e6f6273696469616e2f706c7567696e732f6a6f75726e616c732f646174612e6a736f6e.md
[RESTORED] (332394 bytes)  .obsidian\plugins\IonSync\data\shadow\2e6f6273696469616e2f706c7567696e732f6a6f75726e616c732f6d61696e2e6a73.md
[RESTORED] (247 bytes)  .obsidian\plugins\IonSync\data\shadow\2e6f6273696469616e2f706c7567696e732f6a6f75726e616c732f6d616e69666573742e6a736f6e.md
[RESTORED] (14379 bytes)  .obsidian\plugins\IonSync\data\shadow\2e6f6273696469616e2f706c7567696e732f6a6f75726e616c732f7374796c65732e637373.md
[RESTORED] (241869 bytes)  .obsidian\plugins\IonSync\data\shadow\2e6f6273696469616e2f706c7567696e732f6a732d656e67696e652f6d61696e2e6a73.md
[RESTORED] (381 bytes)  .obsidian\plugins\IonSync\data\shadow\2e6f6273696469616e2f706c7567696e732f6a732d656e67696e652f6d616e69666573742e6a736f6e.md
[RESTORED] (3506 bytes)  .obsidian\plugins\IonSync\data\shadow\2e6f6273696469616e2f706c7567696e732f6a732d656e67696e652f7374796c65732e637373.md
[RESTORED] (11808 bytes)  .obsidian\plugins\IonSync\data\shadow\2e6f6273696469616e2f706c7567696e732f6c617a792d706c7567696e732f646174612e6a736f6e.md
[RESTORED] (13823 bytes)  .obsidian\plugins\IonSync\data\shadow\2e6f6273696469616e2f706c7567696e732f6c617a792d706c7567696e732f6d61696e2e6a73.md
[RESTORED] (391 bytes)  .obsidian\plugins\IonSync\data\shadow\2e6f6273696469616e2f706c7567696e732f6c617a792d706c7567696e732f6d616e69666573742e6a736f6e.md
[RESTORED] (61 bytes)  .obsidian\plugins\IonSync\data\shadow\2e6f6273696469616e2f706c7567696e732f6c617a792d706c7567696e732f7374796c65732e637373.md
[RESTORED] (156738 bytes)  .obsidian\plugins\IonSync\data\shadow\2e6f6273696469616e2f706c7567696e732f6d656469617669657765722f6d61696e2e6a73.md
[RESTORED] (255 bytes)  .obsidian\plugins\IonSync\data\shadow\2e6f6273696469616e2f706c7567696e732f6d656469617669657765722f6d616e69666573742e6a736f6e.md
[RESTORED] (18325 bytes)  .obsidian\plugins\IonSync\data\shadow\2e6f6273696469616e2f706c7567696e732f6d656469617669657765722f7374796c65732e637373.md
[RESTORED] (416 bytes)  .obsidian\plugins\IonSync\data\shadow\2e6f6273696469616e2f706c7567696e732f6e6f74652d6e6176696761746f722f646174612e6a736f6e.md
[RESTORED] (25297 bytes)  .obsidian\plugins\IonSync\data\shadow\2e6f6273696469616e2f706c7567696e732f6e6f74652d6e6176696761746f722f6d61696e2e6a73.md
[RESTORED] (377 bytes)  .obsidian\plugins\IonSync\data\shadow\2e6f6273696469616e2f706c7567696e732f6e6f74652d6e6176696761746f722f6d616e69666573742e6a736f6e.md
[RESTORED] (884 bytes)  .obsidian\plugins\IonSync\data\shadow\2e6f6273696469616e2f706c7567696e732f6e6f74652d6e6176696761746f722f7374796c65732e637373.md
[RESTORED] (1758 bytes)  .obsidian\plugins\IonSync\data\shadow\2e6f6273696469616e2f706c7567696e732f6e6f74652d746f6f6c6261722f646174612e6a736f6e.md
[RESTORED] (781421 bytes)  .obsidian\plugins\IonSync\data\shadow\2e6f6273696469616e2f706c7567696e732f6e6f74652d746f6f6c6261722f6d61696e2e6a73.md
[RESTORED] (309 bytes)  .obsidian\plugins\IonSync\data\shadow\2e6f6273696469616e2f706c7567696e732f6e6f74652d746f6f6c6261722f6d616e69666573742e6a736f6e.md
[RESTORED] (161283 bytes)  .obsidian\plugins\IonSync\data\shadow\2e6f6273696469616e2f706c7567696e732f6e6f74652d746f6f6c6261722f7374796c65732e637373.md
[RESTORED] (9879 bytes)  .obsidian\plugins\IonSync\data\shadow\2e6f6273696469616e2f706c7567696e732f6e6f7465626f6f6b2d6e6176696761746f722f646174612e6a736f6e.md
[RESTORED] (4840840 bytes)  .obsidian\plugins\IonSync\data\shadow\2e6f6273696469616e2f706c7567696e732f6e6f7465626f6f6b2d6e6176696761746f722f6d61696e2e6a73.md
[RESTORED] (498 bytes)  .obsidian\plugins\IonSync\data\shadow\2e6f6273696469616e2f706c7567696e732f6e6f7465626f6f6b2d6e6176696761746f722f6d616e69666573742e6a736f6e.md
[RESTORED] (283253 bytes)  .obsidian\plugins\IonSync\data\shadow\2e6f6273696469616e2f706c7567696e732f6e6f7465626f6f6b2d6e6176696761746f722f7374796c65732e637373.md
[RESTORED] (835 bytes)  .obsidian\plugins\IonSync\data\shadow\2e6f6273696469616e2f706c7567696e732f6f6273696469616e2d6269626c652d6c696e6b65722f646174612e6a736f6e.md
[RESTORED] (44764 bytes)  .obsidian\plugins\IonSync\data\shadow\2e6f6273696469616e2f706c7567696e732f6f6273696469616e2d6269626c652d6c696e6b65722f6d61696e2e6a73.md
[RESTORED] (237 bytes)  .obsidian\plugins\IonSync\data\shadow\2e6f6273696469616e2f706c7567696e732f6f6273696469616e2d6269626c652d6c696e6b65722f6d616e69666573742e6a736f6e.md
[RESTORED] (365 bytes)  .obsidian\plugins\IonSync\data\shadow\2e6f6273696469616e2f706c7567696e732f6f6273696469616e2d6269626c652d6c696e6b65722f7374796c65732e637373.md
[RESTORED] (551 bytes)  .obsidian\plugins\IonSync\data\shadow\2e6f6273696469616e2f706c7567696e732f6f6273696469616e2d6269626c652d7265666572656e63652f646174612e6a736f6e.md
[RESTORED] (142729 bytes)  .obsidian\plugins\IonSync\data\shadow\2e6f6273696469616e2f706c7567696e732f6f6273696469616e2d6269626c652d7265666572656e63652f6d61696e2e6a73.md
[RESTORED] (419 bytes)  .obsidian\plugins\IonSync\data\shadow\2e6f6273696469616e2f706c7567696e732f6f6273696469616e2d6269626c652d7265666572656e63652f6d616e69666573742e6a736f6e.md
[RESTORED] (1009 bytes)  .obsidian\plugins\IonSync\data\shadow\2e6f6273696469616e2f706c7567696e732f6f6273696469616e2d6269626c652d7265666572656e63652f7374796c65732e637373.md
[RESTORED] (601 bytes)  .obsidian\plugins\IonSync\data\shadow\2e6f6273696469616e2f706c7567696e732f6f6273696469616e2d626f6f6b2d7365617263682d706c7567696e2f646174612e6a736f6e.md
[RESTORED] (48346 bytes)  .obsidian\plugins\IonSync\data\shadow\2e6f6273696469616e2f706c7567696e732f6f6273696469616e2d626f6f6b2d7365617263682d706c7567696e2f6d61696e2e6a73.md
[RESTORED] (273 bytes)  .obsidian\plugins\IonSync\data\shadow\2e6f6273696469616e2f706c7567696e732f6f6273696469616e2d626f6f6b2d7365617263682d706c7567696e2f6d616e69666573742e6a736f6e.md
[RESTORED] (868 bytes)  .obsidian\plugins\IonSync\data\shadow\2e6f6273696469616e2f706c7567696e732f6f6273696469616e2d626f6f6b2d7365617263682d706c7567696e2f7374796c65732e637373.md
[RESTORED] (789 bytes)  .obsidian\plugins\IonSync\data\shadow\2e6f6273696469616e2f706c7567696e732f6f6273696469616e2d656e68616e63696e672d6578706f72742f646174612e6a736f6e.md
[RESTORED] (267 bytes)  .obsidian\plugins\IonSync\data\shadow\2e6f6273696469616e2f706c7567696e732f6f6273696469616e2d656e68616e63696e672d6578706f72742f6c75612f6369746566696c7465722e6c7561.md
[RESTORED] (127 bytes)  .obsidian\plugins\IonSync\data\shadow\2e6f6273696469616e2f706c7567696e732f6f6273696469616e2d656e68616e63696e672d6578706f72742f6c75612f6d61726b646f776e2b6875676f2e6c7561.md
[RESTORED] (5869 bytes)  .obsidian\plugins\IonSync\data\shadow\2e6f6273696469616e2f706c7567696e732f6f6273696469616e2d656e68616e63696e672d6578706f72742f6c75612f6d61726b646f776e2e6c7561.md
